model,well_id,rmse,mae,n_rows,fold
Linear Regression,e161bd0c,62.969509978571786,61.14751480599572,4813,5
Linear Regression,e201fd6d,37.874143741619584,35.54324386713086,6912,1
Linear Regression,e25f1537,15.470362194631848,13.447431096004214,5018,1
Linear Regression,e2fc7745,225.69083809826662,225.27809472899688,5343,3
Linear Regression,e32da4ec,251.68984537239183,251.4108713894349,6148,1
Linear Regression,e3b34f5b,104.01319789098393,102.6264920329994,7293,3
Linear Regression,e45a2a62,9.844442583768162,7.560670586547995,6697,3
Linear Regression,e46f4ef4,61.57714843518901,54.17479195843657,8930,4
Linear Regression,e4726608,221.54166348584505,221.32575798536087,6268,4
Linear Regression,e5864244,28.936873148699494,27.858420164008425,6037,4
Linear Regression,e5c92e59,29.56935669083512,26.50941914066209,5927,1
Linear Regression,e5ff9fd2,204.23249890981225,203.94647854294334,4198,1
Linear Regression,e6c55748,16.799973011051367,15.27553819009475,5959,1
Linear Regression,e730c32b,304.93810015912317,304.63647708871525,6469,4
Linear Regression,e737965a,129.67358128356292,129.2943252712443,7694,3
Linear Regression,e748dd88,87.43497433623486,84.94007112027317,6264,1
Linear Regression,e7818f7a,376.14091301118697,375.0608209427399,6829,5
Linear Regression,e7c36e81,38.78053478638873,36.873771842953595,5655,2
Linear Regression,e7d0c1de,127.69549229035735,127.43173826859342,6455,3
Linear Regression,e85074c5,23.025671805728557,20.057364628395444,7236,3
Linear Regression,e97032ad,38.14117987325465,36.11455726486131,5654,3
Linear Regression,e9949a23,116.53593311138825,115.97304850379416,6407,3
Linear Regression,ea0b99b7,322.6255004139127,322.1047975358582,10939,2
Linear Regression,ea3a0e38,44.83211756299286,42.25904182462864,11794,3
Linear Regression,ea41324e,75.6635507249579,75.22750716494869,6839,5
Linear Regression,eabc711b,192.98537558202446,192.32267622212913,7314,4
Linear Regression,eac10e86,12.711775746186497,11.026842093145973,7501,4
Linear Regression,eafb863e,77.44409409609187,75.93500384514519,5317,1
Linear Regression,eb06a4e7,234.2618101852119,233.83228567276768,6379,4
Linear Regression,eb640a35,16.448740517817036,14.1541398048673,7782,4
Linear Regression,eb934281,35.740170877831105,33.48567138017911,7812,5
Linear Regression,eba6605e,41.94485952377379,37.46851263278257,5719,4
Linear Regression,ebe69318,78.09836704357156,77.10997404097235,6718,3
Linear Regression,ec0d597b,41.24175317317152,38.53093386373928,6452,1
Linear Regression,ec13af42,20.429371103914676,19.67528653582393,7362,1
Linear Regression,ecdab904,23.49567856313915,22.01997201432579,8176,2
Linear Regression,ecdaf714,73.73460014099518,72.22512631621872,8240,5
