well_id,n_typewell_rows,n_horizontal_rows,n_known_rows,n_prediction_rows,prediction_fraction,prediction_md_start,prediction_md_end,prediction_md_horizon,known_tvt_min,known_tvt_max,known_tvt_range,last_known_tvt,prediction_tvt_min,prediction_tvt_max,prediction_tvt_range,prediction_tvt_std,prediction_tvt_change,prediction_gr_mean,prediction_gr_std,prediction_gr_range,prediction_gr_missing_fraction,typewell_tvt_min,typewell_tvt_max,typewell_tvt_range,typewell_gr_mean,typewell_gr_std,gr_mean_difference,formation_marker_count,formation_marker_coverage,Bias_Formation_Marker_Baseline,Bias_Last_Known_TVT,Bias_Linear_Extrapolation_10,Bias_Linear_Extrapolation_100,Bias_Linear_Extrapolation_50,Bias_Z_to_TVT_Linear_Model,MAE_Formation_Marker_Baseline,MAE_Last_Known_TVT,MAE_Linear_Extrapolation_10,MAE_Linear_Extrapolation_100,MAE_Linear_Extrapolation_50,MAE_Z_to_TVT_Linear_Model,RMSE_Formation_Marker_Baseline,RMSE_Last_Known_TVT,RMSE_Linear_Extrapolation_10,RMSE_Linear_Extrapolation_100,RMSE_Linear_Extrapolation_50,RMSE_Z_to_TVT_Linear_Model,best_baseline_rmse,best_baseline_model,difficulty_group
a959858c_,5482,5770,1366,4404,0.7632582322357019,12442.0,16845.0,4403.0,10968.21,12133.85,1165.6400000000012,12133.85,12134.38,12224.91,90.53000000000065,14.780199548574812,89.73999999999978,80.95704357678711,13.579789063287958,94.58511489847805,0.6139872842870118,10955.91,12325.65,1369.7399999999998,84.20481028821598,23.049885387860098,3.2477667114288664,26424,1.0,-1340.5482428520543,-63.665921889191424,1122.4804417479374,1232.3244627492804,1194.1292113640395,114.17046816946751,1340.5482428520543,63.665921889191424,1122.4804417479374,1232.3244627492804,1194.1292113640395,114.17046816946751,1451.1571298866559,65.35865899088088,1309.7128597636092,1436.5203920943165,1392.4260850196547,128.73436557096517,65.35865899088088,RMSE_Last_Known_TVT,Difficult
2fd68f7b_,1782,6381,1651,4730,0.7412631249020529,11725.0,16454.0,4729.0,10078.54,10813.26,734.7199999999993,10810.63,10809.77,10885.76,75.98999999999978,23.47915990579049,63.76000000000022,73.75466282318702,11.494822876864195,63.82503124848574,0.6139534883720931,10066.1,10956.570000000002,890.4700000000012,70.83100448933783,28.854280832280313,2.9236583338491897,28380,1.0,1157.8508293458542,-56.01974418604745,-96.87838054936336,-101.73287199885183,-102.45169784742171,104.12420809002951,1157.8508293458542,56.0656765327704,96.87838054936336,101.73287199885183,102.45169784742171,104.12420809002951,1314.1811968910051,60.74015262396321,106.04411421845651,111.5300379173531,112.34336353615295,116.70421769664287,60.74015262396321,RMSE_Last_Known_TVT,Difficult
5f4d2a52_,1927,7112,1887,5225,0.734673790776153,12392.0,17616.0,5224.0,10070.48,10879.95,809.4700000000012,10865.83,10865.21,10959.12,93.91000000000167,31.856212861232706,51.57999999999993,91.38066494758549,27.880634643745477,163.8429907146989,0.21511961722488038,10058.34,11021.27,962.9300000000003,91.72103269330566,36.217415020983346,0.34036774572017237,31350,1.0,915.7115160483022,-47.166553110048056,-90.87491674766171,-120.69965013979045,-105.91356871639245,-127.72434844874284,915.7115160483022,47.20917129186623,90.87491800038029,120.69965013979045,105.91356871639245,127.72434844874284,1050.836071587775,56.914917258531396,106.88694641125566,141.1882623149405,124.17345765773634,145.52796341784287,56.914917258531396,RMSE_Last_Known_TVT,Difficult
ba48188d_,1203,5534,1368,4166,0.7528008673653777,13334.0,17499.0,4165.0,11778.490000000002,12275.31,496.8199999999979,12271.54,12167.76,12272.75,104.98999999999978,33.53783980664962,-103.78000000000065,87.94800803396156,13.303283465685402,98.80416746479318,0.17690830532885263,11765.95,12366.95,601.0,79.77845386533667,26.529305240480515,8.169554168624884,24996,1.0,646.9349909158661,38.34164666346689,52.35791939200693,49.11558581741575,50.41844306202479,-89.54469418884257,646.9349909158661,38.50698511761937,52.36600650412193,49.13816080032907,50.43463719978545,89.54469418884257,728.1235457559931,50.93720227649117,66.80740188436164,63.12205719185873,64.60212178741,100.30808697789557,50.93720227649117,RMSE_Last_Known_TVT,Difficult
389ae58f_,1972,8201,1738,6463,0.7880746250457261,12555.0,19017.0,6462.0,10898.46,11707.31,808.8500000000004,11707.31,11707.37,11775.87,68.5,13.798207119703024,51.75,86.7391716702468,14.4894599773732,113.00446542242886,0.1954200835525298,10885.95,11871.45,985.5,93.2038742393509,26.084772355894906,6.464702569104091,38778,1.0,-525.552646124166,-47.81213213677923,138.27271634881356,154.18680119657301,135.92376990396656,81.58895014657713,525.552646124166,47.81213213677923,138.3367486257782,154.1884355661681,136.0073942219847,81.58895014657713,565.691088751305,49.76304894845995,168.202596501541,186.5093322825473,165.50177755499365,93.81825056283844,49.76304894845995,RMSE_Last_Known_TVT,Difficult
f6d009f4_,2251,8003,1288,6715,0.839060352367862,11254.0,17968.0,6714.0,10009.81,11001.490000000002,991.6800000000021,11001.490000000002,11001.77,11086.25,84.47999999999956,24.29960493865109,83.72999999999774,124.18503153612292,28.213870147767942,181.50457509653216,0.3231571109456441,9997.45,11122.45,1125.0,137.11016437139048,49.70339976674604,12.925132835267561,40290,1.0,5294.62030294888,-40.277885331346255,898.5375086080047,1160.9400714643227,1041.069064008404,-224.9267981855761,5294.62030294888,40.277885331346255,898.5375087343613,1160.9400714643227,1041.069064008404,224.9267981855761,6154.60125204539,47.03924865295554,1044.9565054062223,1347.8703270762594,1209.48849468726,260.9650564080202,47.03924865295554,RMSE_Last_Known_TVT,Difficult
fef8af96_,1316,5068,1242,3826,0.754932912391476,11767.0,15592.0,3825.0,10499.9,11042.3,542.3999999999996,11042.3,10954.44,11043.2,88.76000000000022,24.43706323509813,-87.85999999999876,78.17747402760128,12.57709169630214,88.77646827450721,0.34892838473601673,10487.85,11145.28,657.4300000000003,68.44032674772036,24.21820446163642,9.737147279880915,22956,1.0,688.5876669817035,37.25376372190192,75.523763721918,86.10513740926223,79.83867176506187,68.67378967843807,688.5876669817035,37.32040773653871,75.52376372191802,86.10513740926223,79.83867176506187,68.67378967843807,806.7598266116879,44.55173272632465,88.53189045744871,100.72411473114313,93.50287918661034,78.88431928262573,44.55173272632465,RMSE_Last_Known_TVT,Difficult
c8d9680c_,1377,7741,1460,6281,0.8113938767601085,12207.0,18487.0,6280.0,10862.15,11387.570000000002,525.4200000000019,11364.54,11357.46,11421.05,63.590000000000146,17.32799460661978,32.969999999999345,90.86131957138,12.470360296264023,99.27144125135149,0.38560738735870087,10849.820000000002,11537.41,687.5899999999983,78.79975308641976,30.330201143290786,12.061566484960238,37686,1.0,1131.716007114799,-39.10369367934969,-56.61714822380869,-83.51213742371566,-67.25429343925626,-173.41510136335935,1131.716007114799,39.59137716923995,56.87282802774991,83.54980223713227,67.40464759540052,173.41510136335935,1263.6619467947341,42.77043899776709,62.16186062759603,92.63492189370469,74.15651841309105,191.33365313073682,42.77043899776709,RMSE_Last_Known_TVT,Difficult
fb03ae90_,1985,8129,1698,6431,0.7911182187230902,12330.0,18760.0,6430.0,10671.570000000002,11504.09,832.5199999999986,11478.2,11427.4,11478.16,50.76000000000022,10.997631000810546,-34.81000000000131,74.75285367392524,12.27511178518676,111.98161370837363,0.16902503498678276,10659.45,11651.45,992.0,83.21784382871536,27.221614914146183,8.464990154790115,38586,1.0,268.7929193727117,41.45374591820928,-76.66116317185428,-138.60732482889097,-98.17238805538896,-16.374990339164494,720.010898286084,41.45374591820928,76.92538951869764,138.60732482889097,98.17238805538896,30.739234784455476,938.6648216990613,42.88755217158539,99.71829051027008,170.4849235102362,124.19385504006412,41.598012047849465,41.598012047849465,RMSE_Z_to_TVT_Linear_Model,Difficult
25050f63_,1743,7155,1031,6124,0.8559049615653389,11299.0,17422.0,6123.0,10252.06,10929.05,676.9899999999998,10929.05,10929.23,10977.59,48.36000000000058,8.056069601199148,39.100000000000364,117.37671731253431,17.646741320790287,129.97147006335632,0.04996734160679295,10239.63,11110.62,870.9900000000016,107.58573149741824,29.954304855202444,9.790985815116073,36744,1.0,1730.6883689066567,-37.13290333115698,562.1890663650589,745.5426779769733,623.1082731395131,-89.90127215399852,1730.6883689066567,37.13290333115698,562.1890663650589,745.5426779769733,623.1082731395131,89.90127215399852,2022.6171302815,37.996607342363916,657.1852523855134,868.8544498654159,727.5096820107732,103.6909462578801,37.996607342363916,RMSE_Last_Known_TVT,Difficult
