,MD,X,Y,Z,GR,TVT,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA
MD,1.0,0.10213605279403645,0.028719588374488757,-0.2440043974336964,-0.09141553960107227,0.24144069502611523,-0.1290910926427711,-0.13723082673935533,-0.1375245951359119,-0.13747053595932363,-0.13728736161972585,-0.13728713647974883
X,0.10213605279403645,1.0,0.8937463117796131,-0.4841900319128064,-0.18740497233298803,0.5445268770598312,-0.4848032696404047,-0.47133597678189776,-0.48450836669546715,-0.5283958633304182,-0.5348752474025469,-0.5215566565830931
Y,0.028719588374488757,0.8937463117796131,1.0,-0.09423558217483087,-0.10987543624220492,0.17004740505581767,-0.07900126033506219,-0.05465921663186439,-0.07265608776683787,-0.12440531191525203,-0.13246200898555865,-0.11584467053811709
Z,-0.2440043974336964,-0.4841900319128064,-0.09423558217483087,1.0,0.161957608787076,-0.9579771739034472,0.9586723002181413,0.9623003632328777,0.9641182765897888,0.9642813809010335,0.9639972231055363,0.9642754922211881
GR,-0.09141553960107227,-0.18740497233298803,-0.10987543624220492,0.161957608787076,1.0,-0.19265207922380015,0.15272642785535503,0.13383546155870013,0.13095749202861048,0.13409133866420686,0.135818733365949,0.13481423998029854
TVT,0.24144069502611523,0.5445268770598312,0.17004740505581767,-0.9579771739034472,-0.19265207922380015,1.0,-0.9211046738164721,-0.9236632176452735,-0.9230031818555,-0.9256473585317379,-0.9258769251573308,-0.9272455137582466
ANCC,-0.1290910926427711,-0.4848032696404047,-0.07900126033506219,0.9586723002181413,0.15272642785535503,-0.9211046738164721,1.0,0.9970036512742604,0.9976392981593238,0.998789292586147,0.9985047209266252,0.9988246311622891
ASTNU,-0.13723082673935533,-0.47133597678189776,-0.05465921663186439,0.9623003632328777,0.13383546155870013,-0.9236632176452735,0.9970036512742604,1.0,0.9994730193623855,0.9967825733766187,0.9959343527788823,0.9973207266790551
ASTNL,-0.1375245951359119,-0.48450836669546715,-0.07265608776683787,0.9641182765897888,0.13095749202861048,-0.9230031818555,0.9976392981593238,0.9994730193623855,1.0,0.9981778564139014,0.9975722583228251,0.9985234346156732
EGFDU,-0.13747053595932363,-0.5283958633304182,-0.12440531191525203,0.9642813809010335,0.13409133866420686,-0.9256473585317379,0.998789292586147,0.9967825733766187,0.9981778564139014,1.0,0.9999009245410768,0.9998371316541519
EGFDL,-0.13728736161972585,-0.5348752474025469,-0.13246200898555865,0.9639972231055363,0.135818733365949,-0.9258769251573308,0.9985047209266252,0.9959343527788823,0.9975722583228251,0.9999009245410768,1.0,0.9997920750845825
BUDA,-0.13728713647974883,-0.5215566565830931,-0.11584467053811709,0.9642754922211881,0.13481423998029854,-0.9272455137582466,0.9988246311622891,0.9973207266790551,0.9985234346156732,0.9998371316541519,0.9997920750845825,1.0
