Well_ID,Horizontal_Rows_IQR_outlier,Prediction_Horizon_MD_IQR_outlier,Prediction_Percentage_IQR_outlier,GR_Missing_Percentage_IQR_outlier,Horizontal_TVT_Range_IQR_outlier,Abs_Delta_TVT_IQR_outlier,TVT_Change_Per_MD_IQR_outlier,Longest_GR_Missing_Run_IQR_outlier,Pred_Coverage_Lower_Margin_IQR_outlier,Pred_Coverage_Upper_Margin_IQR_outlier,IQR_Outlier_Count,Coverage_Issue,Internal_Gap_Flag,Typewell_Rows,Horizontal_Rows,Known_Rows,Prediction_Rows,Prediction_Percentage,Prediction_Start_MD,Last_Known_MD,Last_Known_TVT,Final_TVT,Delta_TVT_LastKnown_to_Final,Abs_Delta_TVT,Prediction_Horizon_MD,TVT_Change_Per_MD,Clean_Prediction_Boundary,Unexpected_Internal_Gaps,TVT_Input_Matches_TVT,MD_Min,MD_Max,Median_MD_Step,MD_Is_Monotonic,X_Min,X_Max,Y_Min,Y_Max,Z_Min,Z_Max,Typewell_TVT_Min,Typewell_TVT_Max,Typewell_TVT_Range,Typewell_GR_Min,Typewell_GR_Max,Median_Typewell_TVT_Step,Typewell_TVT_Is_Monotonic,Horizontal_TVT_Min,Horizontal_TVT_Max,Horizontal_TVT_Range,Pred_Region_TVT_Min,Pred_Region_TVT_Max,Coverage_Lower_Margin,Coverage_Upper_Margin,Pred_Coverage_Lower_Margin,Pred_Coverage_Upper_Margin,Typewell_Covers_Horizontal_TVT,Typewell_Covers_Prediction_TVT,Coverage_Category,GR_Missing_Percentage,Prediction_GR_Missing_Percentage,Longest_GR_Missing_Run,Geology_Missing_Percentage,Formation_Missing_Percentage,Z_TVT_Correlation,GR_TVT_Correlation,Prefix_Slope_Last_10,Prefix_Slope_Last_50,Prefix_Slope_Last_100,Typewell_Duplicate_Rows,Horizontal_Duplicate_Rows
404c4384,True,True,True,False,False,False,True,False,False,False,4,False,False,1787,2612,1701,911,34.87748851454824,11944.0,11943.0,10810.45,10819.35,8.899999999999636,8.899999999999636,910.0,0.00978021978021938,True,False,True,10243.0,12854.0,1.0,True,2955073.23,2956494.76,1085438.49,1087037.95,-8656.85,-7939.4,10070.97,10963.71,892.7399999999998,24.5,198.91,0.5,True,10083.09,10819.35,736.2600000000002,10810.47,10819.35,12.1200000000008,144.35999999999876,739.5,144.35999999999876,True,True,complete,19.716692189892804,33.15038419319429,14,37.21320649132625,0.0,-0.9965456867398425,-0.413514816048841,0.02593939393876934,0.03319327731086042,0.03381470147014656,0,0
fba7683c,True,True,True,False,False,False,True,False,False,False,4,False,False,2172,2058,1651,407,19.776482021379984,12888.0,12887.0,11857.08,11862.92,5.8400000000001455,5.8400000000001455,406.0,0.01438423645320233,True,False,True,11237.0,13294.0,1.0,True,3005920.49,3006401.04,1097635.87,1099087.74,-9896.21,-9117.61,10966.4,12051.84,1085.4400000000005,32.93,238.11,0.5,True,10978.94,11862.92,883.9799999999996,11852.98,11862.92,12.540000000000873,188.92000000000007,886.5799999999999,188.92000000000007,True,True,complete,2.0408163265306123,1.71990171990172,1,44.613259668508285,0.0,-0.9987127219891037,-0.4150996921065447,0.006909090909389419,0.0015855942377082858,-0.003145274527458448,0,0
46a301e9,True,True,False,False,False,False,False,False,False,True,3,False,False,2133,9962,1736,8226,82.57378036538847,11861.0,11860.0,10973.64,10961.12,-12.519999999998618,12.519999999998618,8225.0,-0.0015221884498478563,True,False,True,10125.0,20086.0,1.0,True,2971114.38,2977166.29,1092007.46,1099255.8,-8869.38,-7834.799999999999,10245.55,11311.5,1065.9500000000007,33.05,256.22,0.5,True,10257.71,10974.4,716.6900000000005,10955.96,10974.4,12.159999999999854,337.10000000000036,710.4099999999999,337.10000000000036,True,True,complete,43.97711302951215,45.64794553853635,17,44.86638537271448,0.0,-0.876446479074472,-0.8714922811428496,0.009999999999821721,0.011667707082833097,0.016295409540969284,0,0
86454a6f,False,False,False,False,False,True,True,False,True,False,3,False,False,645,9100,1136,7964,87.51648351648352,13101.0,13100.0,12177.94,12257.13,79.18999999999869,79.18999999999869,7963.0,0.009944744443048938,True,False,True,11965.0,21064.0,1.0,True,3000944.96,3004461.28,1081912.82,1090238.61,-10156.09,-9680.3,12044.95,12366.95,322.0,31.86,215.44,0.5,True,12057.48,12274.63,217.14999999999964,12177.95,12274.63,12.529999999998836,92.32000000000153,133.0,92.32000000000153,True,True,complete,80.0989010989011,81.17780010045203,27,0.0,0.0,-0.9088588255969992,0.40146606596172163,0.012969696969722203,0.012573349339698623,0.011212601260137487,0,0
96ae5806,True,True,False,False,False,False,False,True,False,False,3,False,False,1906,11527,1688,9839,85.35612041294353,13126.0,13125.0,12120.820000000002,12114.2,-6.6200000000008,6.6200000000008,9838.0,-0.0006729009961375077,True,False,True,11438.0,22964.0,1.0,True,2991745.18,2995735.73,1062127.36,1072333.67,-10292.91,-9143.95,11326.95,12279.45,952.5,30.84,157.13,0.5,True,11339.42,12125.4,785.9799999999996,12099.490000000002,12125.4,12.469999999999345,154.0500000000011,772.5400000000009,154.0500000000011,True,True,complete,55.2181833955062,55.2393535928448,44,42.65477439664218,0.0,-0.8275034472040658,-0.4307068203847813,0.012242424242342993,0.011806482592999497,0.013159375937589196,0,0
a783cc24,False,False,True,False,False,True,True,False,False,False,3,False,False,1167,3275,1386,1889,57.6793893129771,11727.0,11726.0,10769.72,10713.94,-55.779999999998836,55.779999999998836,1888.0,-0.029544491525423114,True,False,True,10341.0,13615.0,1.0,True,2938430.18,2940194.94,1066362.32,1068831.37,-8718.09,-8193.64,10298.65,10881.6,582.9500000000007,26.08,142.61999999999998,0.5,True,10310.89,10778.33,467.4400000000005,10713.94,10769.69,12.239999999999782,103.27000000000044,415.2900000000009,111.90999999999985,True,True,complete,10.351145038167939,11.646373742721018,5,10.968294772922023,0.0,-0.9677886731351826,0.04088038643291136,-0.02327272727259212,-0.021090516206446072,-0.02097869786978119,0,0
cf50c9d1,False,False,False,False,False,True,True,True,False,False,3,False,False,3786,6634,1776,4858,73.22882122399758,12193.0,12192.0,11223.79,11179.39,-44.400000000001455,44.400000000001455,4857.0,-0.009141445336627847,True,False,True,10417.0,17050.0,1.0,True,2931139.92,2935252.21,1054732.27,1059200.86,-9071.86,-8281.58,10386.77,11331.96,945.1899999999987,22.58,196.86,0.25,True,10399.19,11227.05,827.8599999999988,11179.35,11223.77,12.420000000000073,104.90999999999985,792.5799999999999,108.18999999999869,True,True,complete,17.108833283087126,16.1177439275422,253,36.9783412572636,0.0,-0.8716645815125849,-0.06306337192419671,-0.013757575757580477,-0.004667947178862369,-0.0033720372037167943,0,0
d90aa14c,True,True,False,False,False,False,False,False,False,True,3,False,False,864,12141,2123,10018,82.51379622765835,12122.0,12121.0,10916.87,10892.02,-24.850000000000364,24.850000000000364,10017.0,-0.002480782669461951,True,False,True,9999.0,22139.0,1.0,True,2882925.75,2890466.31,1033681.91,1042451.79,-8756.96,-7946.92,10100.45,10963.45,863.0,42.2,195.2,1.0,True,10112.570000000002,10940.84,828.2699999999986,10892.02,10940.84,12.1200000000008,22.610000000000582,791.5699999999997,22.610000000000582,True,True,complete,40.34264063915658,38.64044719504891,24,45.48611111111111,0.0,-0.6342531808194788,-0.33899549833629206,-0.03672727272720113,-0.037285474189690755,-0.03615739573958794,0,0
d924e971,False,False,False,False,False,True,True,True,False,False,3,False,False,4518,5308,2124,3184,59.984928409947244,13108.0,13107.0,12029.45,12098.320000000002,68.8700000000008,68.8700000000008,3183.0,0.021636820609488155,True,False,True,10984.0,16291.0,1.0,True,3005718.57,3007274.18,1105424.14,1109799.33,-9834.49,-8825.64,11027.7,12156.95,1129.25,27.79,203.62,0.25,True,11040.19,12098.320000000002,1058.130000000001,12029.51,12098.320000000002,12.489999999999782,58.6299999999992,1001.8099999999995,58.6299999999992,True,True,complete,10.81386586284853,6.469849246231156,229,47.808764940239044,0.0,-0.960828449310461,-0.1462616409603196,0.06096969697009982,0.06812340936374991,0.07255139513949194,0,0
e5864244,False,False,False,False,False,True,True,True,False,False,3,False,False,1779,6037,1568,4469,74.02683452045719,13554.0,13553.0,12725.62,12778.63,53.0099999999984,53.0099999999984,4468.0,0.011864368845120501,True,False,True,11986.0,18022.0,1.0,True,3020798.92,3024186.98,1083167.1,1087589.86,-10792.6,-9891.52,11985.84,12874.68,888.8400000000001,27.93,198.11,0.5,True,11998.03,12778.64,780.6099999999988,12725.68,12778.64,12.19000000000051,96.04000000000087,739.8400000000001,96.04000000000087,True,True,complete,33.27811827066424,36.294473036473484,60,35.07588532883643,0.0,-0.95529153309258,-0.2817408983930782,0.06000000000027816,0.060759183673497676,0.05958547854785562,0,0
