Well_ID,Typewell_Rows,Horizontal_Rows,Known_Rows,Prediction_Rows,Prediction_Percentage,Prediction_Start_MD,Last_Known_MD,Last_Known_TVT,Final_TVT,Delta_TVT_LastKnown_to_Final,Abs_Delta_TVT,Prediction_Horizon_MD,TVT_Change_Per_MD,Clean_Prediction_Boundary,Unexpected_Internal_Gaps,TVT_Input_Matches_TVT,MD_Min,MD_Max,Median_MD_Step,MD_Is_Monotonic,X_Min,X_Max,Y_Min,Y_Max,Z_Min,Z_Max,Typewell_TVT_Min,Typewell_TVT_Max,Typewell_TVT_Range,Typewell_GR_Min,Typewell_GR_Max,Median_Typewell_TVT_Step,Typewell_TVT_Is_Monotonic,Horizontal_TVT_Min,Horizontal_TVT_Max,Horizontal_TVT_Range,Pred_Region_TVT_Min,Pred_Region_TVT_Max,Coverage_Lower_Margin,Coverage_Upper_Margin,Pred_Coverage_Lower_Margin,Pred_Coverage_Upper_Margin,Typewell_Covers_Horizontal_TVT,Typewell_Covers_Prediction_TVT,Coverage_Category,GR_Missing_Percentage,Prediction_GR_Missing_Percentage,Longest_GR_Missing_Run,Geology_Missing_Percentage,Formation_Missing_Percentage,Z_TVT_Correlation,GR_TVT_Correlation,Prefix_Slope_Last_10,Prefix_Slope_Last_50,Prefix_Slope_Last_100,Typewell_Duplicate_Rows,Horizontal_Duplicate_Rows
000d7d20,1296,5278,1442,3836,72.67904509283821,12909.0,12908.0,11747.37,11737.31,-10.06000000000131,10.06000000000131,3835.0,-0.002623207301173744,True,False,True,11467.0,16744.0,1.0,True,2983468.41,2983578.28,1069022.09,1074040.56,-9755.61,-9258.57,11223.95,11871.45,647.5,28.66,158.17999999999998,0.5,True,11236.02,11756.12,520.1000000000004,11734.83,11750.03,12.069999999999709,115.32999999999993,510.8799999999992,121.42000000000007,True,True,complete,42.78135657446002,47.340980187695514,19,23.070987654320987,0.0,-0.9176984519483595,0.0011208309909164387,0.011272727272976608,0.016695318127218976,0.01247428742873353,0,0
00bbac68,1946,7559,1545,6014,79.56078846408255,13123.0,13122.0,12223.54,12216.8,-6.740000000001601,6.740000000001601,6013.0,-0.0011209047064695827,True,False,True,11578.0,19136.0,1.0,True,3005789.15,3010760.08,1084504.44,1089521.36,-10182.58,-9436.36,11394.45,12366.95,972.5,31.86,215.44,0.5,True,11406.63,12240.01,833.380000000001,12189.820000000002,12240.01,12.179999999998472,126.94000000000051,795.3700000000008,126.94000000000051,True,True,complete,12.461965868501125,13.834386431659462,8,47.3792394655704,0.0,-0.9076498684498955,-0.24204087163850124,0.017030303030192522,0.01306794717891345,0.007589918991898677,0,0
00e12e8b,2556,6384,2083,4301,67.37155388471177,12539.0,12538.0,11604.820000000002,11596.37,-8.450000000000728,8.450000000000728,4300.0,-0.0019651162790699367,True,False,True,10456.0,16839.0,1.0,True,2967726.49,2971071.98,1060431.23,1065106.5,-9338.34,-8356.04,10593.95,11871.45,1277.5,28.66,195.42,0.5,True,10606.18,11616.64,1010.4599999999991,11587.05,11616.64,12.229999999999563,254.8100000000013,993.0999999999985,254.8100000000013,True,True,complete,9.147869674185463,9.718670076726342,8,60.99374021909233,0.0,-0.9638614653956835,-0.7860019355286658,0.04151515151549554,0.04213589435777754,0.03671479147915616,0,0
015fe0d2,1265,5950,1654,4296,72.2016806722689,13488.0,13487.0,12233.78,12257.76,23.979999999999563,23.979999999999563,4295.0,0.00558323632130374,True,False,True,11834.0,17783.0,1.0,True,2998620.5,3002003.09,1073179.45,1077773.53,-10231.85,-9537.66,11734.95,12366.95,632.0,31.86,215.44,0.5,True,11747.26,12271.53,524.2700000000004,12232.92,12271.53,12.30999999999949,95.42000000000007,497.96999999999935,95.42000000000007,True,True,complete,25.428571428571427,32.02979515828678,9,19.051383399209488,0.0,-0.928339441859033,0.2036920835535086,0.029454545454482332,0.02988763505400674,0.0258812481248351,0,0
01869cd4,1052,6850,1293,5557,81.12408759124088,12549.0,12548.0,11745.94,11749.39,3.4499999999989086,3.4499999999989086,5556.0,0.0006209503239738857,True,False,True,11256.0,18105.0,1.0,True,2971669.4,2975650.09,1063180.31,1068509.12,-9643.35,-8961.39,11345.95,11871.45,525.5,28.66,145.20999999999998,0.5,True,11358.27,11767.75,409.47999999999956,11728.75,11767.75,12.319999999999709,103.70000000000073,382.7999999999993,103.70000000000073,True,True,complete,47.70802919708029,51.12470757603024,14,5.228136882129278,0.0,-0.8799740735409246,0.06509061526736984,0.0009696969700621414,0.008511884753948594,0.014921512151226122,0,0
01982c1d,2213,5587,1646,3941,70.538750671201,11667.0,11666.0,10694.08,10682.86,-11.219999999999345,11.219999999999345,3940.0,-0.002847715736040443,True,False,True,10021.0,15607.0,1.0,True,2994734.18,2996249.89,1121978.97,1126836.24,-8630.69,-7911.91,9915.37,11021.27,1105.8999999999996,30.96,207.46,0.5,True,9927.92,10700.87,772.9500000000007,10682.86,10700.87,12.549999999999272,320.39999999999964,767.4899999999998,320.39999999999964,True,True,complete,15.142294612493288,15.808170515097691,11,47.537279710799815,0.0,-0.9290169068755212,-0.8618351515887,0.02496969697014126,0.022317406962783427,0.01876141614161784,0,0
028d7b28,1774,7761,1527,6234,80.32470042520293,13424.0,13423.0,12427.92,12428.78,0.8600000000005821,0.8600000000005821,6233.0,0.00013797529279649962,True,False,True,11897.0,19657.0,1.0,True,3005520.61,3009836.04,1066661.73,1072695.03,-10472.41,-9632.68,11862.45,12748.95,886.5,29.71,233.85,0.5,True,11874.64,12437.08,562.4400000000005,12410.84,12437.08,12.18999999999869,311.8700000000008,548.3899999999994,311.8700000000008,True,True,complete,21.788429326117768,23.307667629130574,7,39.00789177001127,0.0,-0.8171212651938295,-0.5148343418974739,0.023030303030834667,0.029426650660297638,0.03631509150913843,0,0
02e7fe5a,1006,6888,1780,5108,74.15795586527294,13255.0,13254.0,12178.98,12197.91,18.93000000000029,18.93000000000029,5107.0,0.0037066771098492836,True,False,True,11475.0,18362.0,1.0,True,2985890.9,2985960.87,1058610.08,1064948.05,-10035.68,-9229.89,11782.62,12285.1,502.47999999999956,26.77,120.06,0.5,True,11356.13,12199.39,843.2600000000002,12175.21,12199.39,-426.4900000000016,85.71000000000095,392.5899999999983,85.71000000000095,False,True,complete,57.9849012775842,63.664839467501956,21,1.0934393638170974,0.0,-0.9725847337498847,-0.538132695857931,0.033454545454045935,0.03466698679466722,0.03606090609059697,0,0
0390d174,1709,6101,1690,4411,72.29962301262088,12048.0,12047.0,10620.96,10618.87,-2.0899999999983265,2.0899999999983265,4410.0,-0.0004739229024939516,True,False,True,10358.0,16458.0,1.0,True,2999862.38,3001908.43,1122743.7,1128190.32,-8839.7,-8105.309999999999,10102.6,10956.570000000002,853.9700000000012,22.9,177.14999999999998,0.5,True,10114.85,10639.09,524.2399999999998,10607.69,10639.09,12.25,317.4800000000014,505.09000000000015,317.4800000000014,True,True,complete,47.95935092607769,49.78462933575153,23,31.36337039204213,0.0,-0.8956407629413595,-0.8666349274201759,0.022545454545601362,0.02598175270102182,0.027324032403259632,0,0
03a935ae,1616,4430,1644,2786,62.88939051918736,13952.0,13951.0,12792.17,12742.570000000002,-49.599999999998545,49.599999999998545,2785.0,-0.017809694793536283,True,False,True,12308.0,16737.0,1.0,True,3032648.63,3036280.49,1087844.62,1089694.83,-10780.86,-10154.55,12179.95,12987.45,807.5,21.06,214.25,0.5,True,12192.18,12837.98,645.7999999999993,12738.58,12792.15,12.229999999999563,149.47000000000116,558.6299999999992,195.3000000000011,True,True,complete,3.9503386004514676,4.0559942569992815,3,49.81435643564357,16.666666666666664,-0.9657639965656768,-0.1483413382819877,-0.019999999999961045,-0.019527010804288755,-0.02025946594659102,0,0
