,MD,X,Y,Z,GR,TVT,ANCC,ASTNU,ASTNL,EGFDU,EGFDL,BUDA
MD,1.0,-0.9131012639030002,1.0,0.46889252708537105,0.25971963586852564,-0.2528524087390291,0.9978481852892112,0.9978481852892112,0.9978481852892112,0.9978481852892112,0.9978481852892112,0.9978481852892112
X,-0.9131012639030002,1.0,-0.9131012639030002,-0.5999750824805048,-0.2709691012766396,0.3118997422457501,-0.9179311895355051,-0.9179311895355051,-0.9179311895355051,-0.9179311895355051,-0.9179311895355051,-0.9179311895355051
Y,1.0,-0.9131012639030002,1.0,0.46889252708537105,0.25971963586852564,-0.2528524087390291,0.9978481852892112,0.9978481852892112,0.9978481852892112,0.9978481852892112,0.9978481852892112,0.9978481852892112
Z,0.46889252708537105,-0.5999750824805048,0.46889252708537105,1.0,0.1390258618253031,-0.8547553167444499,0.4866933791449031,0.4866933791449031,0.4866933791449031,0.4866933791449031,0.4866933791449031,0.4866933791449031
GR,0.25971963586852564,-0.2709691012766396,0.25971963586852564,0.1390258618253031,1.0,-0.12903861119942864,0.28074764228830273,0.28074764228830273,0.28074764228830273,0.28074764228830273,0.28074764228830273,0.28074764228830273
TVT,-0.2528524087390291,0.3118997422457501,-0.2528524087390291,-0.8547553167444499,-0.12903861119942864,1.0,-0.2588935647522631,-0.2588935647522631,-0.2588935647522631,-0.2588935647522631,-0.2588935647522631,-0.2588935647522631
ANCC,0.9978481852892112,-0.9179311895355051,0.9978481852892112,0.4866933791449031,0.28074764228830273,-0.2588935647522631,1.0,1.0,1.0,1.0,1.0,1.0
ASTNU,0.9978481852892112,-0.9179311895355051,0.9978481852892112,0.4866933791449031,0.28074764228830273,-0.2588935647522631,1.0,1.0,1.0,1.0,1.0,1.0
ASTNL,0.9978481852892112,-0.9179311895355051,0.9978481852892112,0.4866933791449031,0.28074764228830273,-0.2588935647522631,1.0,1.0,1.0,1.0,1.0,1.0
EGFDU,0.9978481852892112,-0.9179311895355051,0.9978481852892112,0.4866933791449031,0.28074764228830273,-0.2588935647522631,1.0,1.0,1.0,1.0,1.0,1.0
EGFDL,0.9978481852892112,-0.9179311895355051,0.9978481852892112,0.4866933791449031,0.28074764228830273,-0.2588935647522631,1.0,1.0,1.0,1.0,1.0,1.0
BUDA,0.9978481852892112,-0.9179311895355051,0.9978481852892112,0.4866933791449031,0.28074764228830273,-0.2588935647522631,1.0,1.0,1.0,1.0,1.0,1.0
